Date,Open,High,Low,Close,Adj Close,Volume
5/4/2021,226.313339,227.816666,219.233337,224.53334,224.53334,89217900
5/5/2021,227.020004,228.433334,222.446671,223.646667,223.646667,65705700
5/6/2021,226.919998,227.006668,216.666672,221.179993,221.179993,83353800
5/7/2021,221.933334,230,220.073334,224.123337,224.123337,70407600
5/10/2021,221.633331,221.683334,209.203339,209.679993,209.679993,94177200
5/11/2021,199.746674,209.03334,198.53334,205.733337,205.733337,139511700
5/12/2021,200.830002,206.803329,195.589996,196.630005,196.630005,101470800
5/13/2021,200.513336,202.153336,186.550003,190.563339,190.563339,132554700
5/14/2021,194.470001,197.623337,190.153336,196.580002,196.580002,100112700
5/17/2021,191.850006,196.57666,187.066666,192.276672,192.276672,97171200
5/18/2021,189.333328,198.75,187.793335,192.623337,192.623337,110491800
5/19/2021,184.183334,188.736664,182.32666,187.820007,187.820007,118735200
5/20/2021,191.666672,196.28334,190.356674,195.593338,195.593338,92463300
5/21/2021,198.703339,198.893326,193.333328,193.626663,193.626663,78091800
5/24/2021,193.866669,204.82666,191.21666,202.146667,202.146667,103674300
5/25/2021,202.436661,204.66333,198.570007,201.563339,201.563339,84017700
5/26/2021,202.520004,208.723328,200.5,206.376663,206.376663,85917900
5/27/2021,206.746674,210.376663,205.403336,210.28334,210.28334,79111800
5/28/2021,209.5,211.863327,207.460007,208.406662,208.406662,68211000
6/1/2021,209.266663,211.266663,206.850006,207.96666,207.96666,54254700
6/2/2021,206.710007,207.786667,199.713333,201.706665,201.706665,69908400
6/3/2021,200.600006,201.516663,190.406662,190.946671,190.946671,90335700
6/4/2021,193.236664,200.203339,192.399994,199.683334,199.683334,72110700
6/7/2021,197.276672,203.333328,194.293335,201.710007,201.710007,67631100
6/8/2021,207.669998,207.696671,198.5,201.196671,201.196671,78160200
6/9/2021,200.723328,203.929993,199.210007,199.593338,199.593338,49753800
6/10/2021,201.293335,205.529999,200.166672,203.373337,203.373337,71758800
6/11/2021,203.410004,204.186661,200.506668,203.296661,203.296661,48615900
6/14/2021,204.07666,208.496674,203.059998,205.896667,205.896667,61272000
6/15/2021,205.563339,205.596664,199.410004,199.786667,199.786667,53292300
6/16/2021,199.179993,202.833328,197.833328,201.623337,201.623337,66432300
